date,n_pairs,net_valence,net_valence_mean,mean_intensity,emo_optimism_confidence,share_optimism_confidence,emo_excitement_euphoria,share_excitement_euphoria,emo_fear_anxiety,share_fear_anxiety,emo_pessimism_despair,share_pessimism_despair,emo_anger_disgust,share_anger_disgust,emo_confusion_uncertainty,share_confusion_uncertainty,emo_surprise,share_surprise,cell_fear_anxiety__inflation,cell_fear_anxiety__monetary_policy,cell_optimism_confidence__growth_gdp,cell_fear_anxiety__markets_themselves,cell_anger_disgust__fiscal_taxes,cell_optimism_confidence__corporate_earnings
2025-01-24,4097,-671.63,-0.16393214547229681,0.49037832560410055,1016,0.2479863314620454,231,0.05638271906272883,347,0.08469611911154504,513,0.12521357090554064,1575,0.3844276299731511,318,0.07761776909934098,96,0.023431779350744447,0.5,2.0,2.75,51.13,37.0,43.13
2025-01-31,5009,-881.32,-0.17594729486923538,0.49159912158115393,1150,0.2295867438610501,269,0.05370333399880216,452,0.09023757236973448,619,0.12357756039129567,1941,0.38750249550808546,462,0.09223397883809144,115,0.02295867438610501,2.0,3.0,3.0,80.5,34.5,61.5
2025-02-07,9654,-2894.72,-0.2998466956701885,0.5191091775429874,1536,0.15910503418272218,355,0.03677232235342863,1114,0.11539258338512534,1496,0.15496167391754714,4339,0.4494510047648643,679,0.07033354050134659,133,0.013776672881707065,3.5,9.5,7.5,173.27,286.25,40.0
2025-02-14,5589,-1330.57,-0.2380694220790839,0.5056342816246198,1037,0.18554303095365898,312,0.055823939881910895,692,0.12381463589193058,835,0.1494006083378064,2190,0.39184111647879766,407,0.07282161388441581,114,0.020397208803005905,3.25,7.25,4.0,88.64,118.75,30.26
2025-02-21,5316,-902.81,-0.16982881866064709,0.49764484574868323,1377,0.2590293453724605,254,0.047780285929270125,737,0.13863807373965387,867,0.1630925507900677,1609,0.3026711813393529,392,0.07373965387509406,78,0.014672686230248307,11.0,13.13,4.0,97.14,69.75,34.25
2025-02-28,7479,-1643.33,-0.21972589918438293,0.5074100815617061,1554,0.20778178900922584,363,0.04853590052146009,823,0.1100414493916299,1152,0.15403128760529483,2823,0.3774568792619334,599,0.0800909212461559,163,0.021794357534429737,6.75,8.0,6.63,116.89,194.99,63.0
2025-03-07,11246,-3257.5,-0.2896585452605371,0.5293811132847235,2027,0.18024186377378623,384,0.03414547394629201,1467,0.13044638093544372,1976,0.17570691801529434,4502,0.4003201138182465,720,0.06402276364929753,167,0.014849724346434287,13.5,17.5,23.13,247.15,250.0,30.0
2025-03-14,11331,-2907.96,-0.2566375430235637,0.5208481157885446,2270,0.20033536316300415,414,0.03653693407466243,1170,0.10325655281969817,1958,0.17280028241108464,4530,0.3997881916865237,816,0.07201482658194334,173,0.015267849263083576,6.5,22.25,17.5,192.77,172.75,25.38
2025-03-21,6164,-1507.74,-0.24460415314730694,0.508630759247242,1232,0.199870214146658,244,0.03958468526930565,659,0.10691109669046074,969,0.15720311486048022,2490,0.40395846852693057,465,0.0754380272550292,105,0.017034393251135625,4.0,8.5,19.75,92.27,106.0,20.0
2025-03-28,4644,-1390.93,-0.2995111972437554,0.5182988802756244,777,0.16731266149870802,162,0.03488372093023256,411,0.08850129198966408,684,0.14728682170542637,2260,0.48664944013781225,259,0.055770887166236,91,0.01959517657192076,4.38,18.5,4.5,43.5,103.12,25.5
2025-04-04,16178,-5175.31,-0.3198980096427247,0.5359482012609716,2638,0.16306094696501422,444,0.027444677957720362,1572,0.09716899493138831,3357,0.20750401780195327,6959,0.43015205835084686,962,0.059463468908394115,244,0.015082210409197676,14.0,27.63,23.25,230.27,188.13,23.38
2025-04-11,23831,-7601.17,-0.31896143678402084,0.5312370441861441,3769,0.15815534387982041,605,0.025387100835046788,2441,0.10242960849313919,4454,0.18689941672611304,10565,0.4433301162351559,1577,0.06617431077168394,419,0.017582140908900173,18.75,43.88,38.75,452.69,393.75,15.25
2025-04-18,10001,-3619.07,-0.36187081291870815,0.5366733326667333,1271,0.12708729127087293,227,0.0226977302269773,1091,0.1090890910908909,1704,0.1703829617038296,4932,0.4931506849315068,616,0.06159384061593841,160,0.015998400159984,12.13,122.14,17.75,130.63,171.75,13.0
2025-04-25,9903,-3411.95,-0.3445370089871756,0.5326840351408664,1370,0.13834191659093203,248,0.025042916287993537,851,0.08593355548823589,1779,0.17964253256588913,4893,0.49409269918206605,590,0.05957790568514591,172,0.017368474199737454,7.75,74.37,15.0,105.88,92.5,30.25
2025-05-02,7641,-2138.21,-0.27983379138856174,0.5176730794398638,1336,0.174846224316189,262,0.034288705666797537,683,0.08938620599397984,1353,0.17707106399685904,3328,0.43554508572176415,546,0.07145661562622693,133,0.017406098678183483,7.75,10.0,29.0,83.39,95.0,41.13
2025-05-09,6460,-1696.75,-0.2626547987616099,0.5148297213622292,1155,0.17879256965944273,240,0.03715170278637771,553,0.08560371517027864,1091,0.16888544891640866,2753,0.4261609907120743,520,0.0804953560371517,146,0.02260061919504644,3.75,6.75,14.0,129.65,85.5,74.0
2025-05-16,7028,-1265.29,-0.18003557199772338,0.5054097894137735,1686,0.23989755264655663,372,0.05293113261240751,561,0.07982356289129197,1078,0.15338645418326693,2640,0.37564029595902104,548,0.07797381900967558,143,0.020347182697780308,2.5,7.25,9.75,85.63,82.63,51.5
2025-05-23,4846,-1371.78,-0.28307470078415187,0.5166302104828725,789,0.1628146925299216,209,0.04312835328105654,404,0.08336772595955427,739,0.1524969046636401,2273,0.46904663640115557,340,0.070160957490714,91,0.018778373916632275,4.0,6.0,5.5,65.63,365.49,38.5
2025-05-30,4474,-954.68,-0.21338399642378184,0.5104470272686633,903,0.20183281180151988,263,0.05878408582923558,388,0.08672329012069736,719,0.16070630308448816,1791,0.4003129190880644,334,0.07465355386678588,75,0.01676352257487707,2.75,9.0,6.5,53.75,123.5,63.13
2025-06-06,3658,-635.7,-0.1737834882449426,0.49395297977036634,851,0.23264078731547294,240,0.06560962274466922,334,0.09130672498633133,581,0.15882996172772007,1314,0.35921268452706395,254,0.06943685073810825,83,0.022689994532531437,3.0,3.0,5.0,46.75,90.0,29.76
