week,ticker,net_val,n_fear,n_pairs,n_comments
2023-06-10,COST,-2.25,0,5,4
2023-06-17,COST,-0.5,0,1,1
2023-07-22,COST,-1.5,0,2,1
2023-08-12,COST,-0.5,0,1,1
2023-08-19,COST,-1.5,0,3,2
2023-08-26,COST,-1.0,0,2,1
2023-09-02,COST,-1.75,0,3,1
2023-09-09,COST,-0.5,0,1,1
2023-09-16,COST,0.25,1,2,2
2023-09-30,COST,-1.5,0,7,6
2023-10-07,COST,-1.0,0,2,2
2023-10-14,COST,-1.5,0,3,1
2023-10-21,COST,-1.75,0,5,3
2023-10-28,COST,-1.5,0,2,1
2023-11-04,COST,2.0,0,4,1
2023-11-11,COST,-0.5,0,1,1
2023-11-18,COST,-0.5,0,2,2
2023-11-25,COST,3.0,0,6,3
2023-12-09,COST,-1.5,0,2,1
2023-12-16,COST,-0.75,0,2,2
2023-12-23,COST,1.0,0,2,1
2023-12-30,COST,-5.0,4,10,4
2024-01-13,COST,-0.5,0,2,2
2024-01-20,COST,0.0,0,2,2
2024-01-27,COST,-0.5,0,1,1
2024-02-03,COST,-0.5,0,1,1
2024-02-17,COST,-1.0,0,2,2
2024-02-24,COST,1.0,0,7,6
2024-03-02,COST,1.25,0,5,5
2024-03-09,COST,1.5,0,3,1
2024-03-16,COST,1.5,0,5,5
2024-03-23,COST,0.5,0,4,4
2024-03-30,COST,0.0,0,9,7
2024-04-06,COST,-1.88,3,30,24
2024-04-13,COST,-4.0,2,18,13
2024-04-27,COST,0.25,0,2,1
2024-05-04,COST,-0.5,0,7,5
2024-05-11,COST,0.0,0,2,2
2024-05-18,COST,0.5,0,1,1
2024-05-25,COST,0.5,0,5,4
2024-06-08,COST,1.0,0,2,2
2024-06-15,COST,-0.5,0,3,3
2024-06-22,COST,-1.0,0,3,3
2024-06-29,COST,0.5,0,2,1
2024-07-06,COST,-1.0,0,2,2
2024-07-20,COST,-2.0,0,4,2
2024-08-10,COST,-0.5,2,3,2
2024-08-17,COST,0.25,0,2,2
2024-08-31,COST,-3.75,1,14,8
2024-09-07,COST,-1.75,1,6,6
2024-09-21,COST,-2.75,1,10,7
2024-09-28,COST,-4.75,0,12,8
2024-10-05,COST,-1.0,0,2,1
2024-10-12,COST,-1.0,0,2,2
2024-11-02,COST,-1.5,0,4,3
2024-11-09,COST,-0.75,0,3,1
2024-11-16,COST,0.5,0,1,1
2024-11-23,COST,-2.5,0,5,4
2024-11-30,COST,0.5,0,1,1
2024-12-07,COST,-1.0,1,2,2
2024-12-14,COST,0.75,0,6,5
2024-12-21,COST,-1.0,0,2,2
2024-12-28,COST,1.0,0,6,5
2025-01-04,COST,1.75,0,4,4
2025-01-25,COST,-0.5,0,4,3
2025-02-01,COST,-2.5,2,5,3
2025-02-08,COST,-7.0,0,12,3
2025-02-15,COST,2.25,0,34,25
2025-02-22,COST,0.0,0,9,6
2025-03-01,COST,-1.5,0,8,6
2025-03-08,COST,-5.5,3,18,12
2025-03-15,COST,-3.0,0,7,5
2025-03-22,COST,-3.75,0,8,6
2025-03-29,COST,-4.25,1,24,15
2025-04-05,COST,-1.25,3,8,5
2025-04-12,COST,0.5,0,9,5
2025-04-19,COST,0.5,0,11,6
2025-04-26,COST,-3.0,0,16,12
2025-05-03,COST,0.0,0,2,2
2025-05-10,COST,1.5,0,3,1
2025-05-24,COST,-0.5,2,7,6
2025-05-31,COST,-1.5,2,8,5
2025-06-07,COST,0.5,0,1,1
2025-06-14,COST,3.0,0,11,4
2025-06-21,COST,-1.88,0,6,6
2025-06-28,COST,1.0,0,2,2
2025-07-12,COST,-0.5,2,9,5
2025-07-19,COST,1.5,0,8,4
2025-07-26,COST,-1.0,0,2,2
2025-08-02,COST,1.0,0,4,3
2025-08-09,COST,-10.5,0,26,21
2025-08-16,COST,-0.5,0,4,3
