date,n,dead,removed,dead_rate,removed_rate
2019-08-02,7499,1180,826,0.15735431390852114,0.11014801973596479
2019-08-09,9687,1416,850,0.14617528646639827,0.08774646433364303
2019-08-16,8229,1662,1256,0.2019686474662778,0.1526309393607972
2019-08-23,7715,1747,1371,0.22644199611147117,0.17770576798444587
2019-08-30,9071,1646,1243,0.18145739168779626,0.137030095910043
2019-09-06,8491,1491,1122,0.1755976916735367,0.13213991284889884
2019-09-13,10525,1777,1187,0.16883610451306413,0.1127790973871734
2019-09-20,11573,1687,1029,0.14577032748639074,0.08891385120539186
2019-09-27,9179,1194,709,0.1300795293604968,0.07724152957838544
2019-10-04,9814,1714,1282,0.17464846138169962,0.13062971265539025
2019-10-11,8466,1199,766,0.14162532482872667,0.09047956532010394
2019-10-18,9552,1433,881,0.1500209380234506,0.09223199329983249
2019-10-25,7634,1083,558,0.14186533927167932,0.07309405292114225
2019-11-01,9159,1184,616,0.1292717545583579,0.06725625068238891
2019-11-08,11257,1102,425,0.09789464333303723,0.037754286221906366
2019-11-15,9656,764,172,0.07912178956089479,0.017812758906379452
2019-11-22,7906,663,200,0.08386035922084492,0.02529724260055654
2019-11-29,8725,1016,485,0.11644699140401146,0.055587392550143264
2019-12-06,10675,1110,410,0.10398126463700234,0.03840749414519906
2019-12-13,10714,1095,516,0.10220272540601083,0.04816128430091469
2019-12-20,7527,814,347,0.10814401487976617,0.046100704131792215
2019-12-27,7642,658,231,0.0861031143679665,0.030227689086626538
2020-01-03,8861,910,367,0.10269721250423203,0.041417447240717754
2020-01-10,6668,756,386,0.11337732453509299,0.05788842231553689
2020-01-17,10267,1151,619,0.11210674978085126,0.060290250316548166
2020-01-24,9829,1335,743,0.13582256587648794,0.07559263404212026
2020-01-31,7901,912,366,0.11542842678142007,0.046323250221490954
2020-02-07,8061,838,273,0.10395732539387173,0.03386676590993673
2020-02-14,11292,1451,646,0.12849805171803047,0.057208643287283034
2020-02-21,11877,1896,1251,0.1596362717858045,0.10532962869411468
2020-02-28,7841,1199,760,0.15291416911108277,0.09692641244739192
2020-03-06,9814,1010,466,0.10291420419808436,0.04748318728347259
2020-03-13,11136,1244,553,0.11170977011494253,0.04965876436781609
2020-03-20,19771,2892,1731,0.14627484699812857,0.08755247584846493
2020-03-27,19620,2828,1697,0.14413863404689092,0.08649337410805301
2020-04-03,16477,3731,2948,0.2264368513685744,0.17891606481762456
2020-04-10,11520,2105,1487,0.18272569444444445,0.1290798611111111
2020-04-17,11156,2309,1745,0.20697382574399426,0.15641807099318752
2020-04-24,13347,2116,1304,0.15853749906345996,0.09769985764591294
2020-05-01,12484,2251,1591,0.18031079782121115,0.1274431272028196
2020-05-08,12188,2322,1687,0.19051526091237284,0.13841483426320972
2020-05-15,13630,2053,1431,0.15062362435803375,0.10498899486426999
2020-05-22,14825,2285,1338,0.15413153456998313,0.09025295109612141
2020-05-29,10308,1331,647,0.12912301125339543,0.06276678308110206
2020-06-05,9597,1431,785,0.1491090965926852,0.08179639470667917
2020-06-12,10205,1425,864,0.1396374326310632,0.08466438020578149
2020-06-19,11531,2039,1419,0.17682768190096262,0.12305957852744775
2020-06-26,9921,1505,961,0.15169841749823607,0.09686523535933877
2020-07-03,11622,1738,971,0.14954396833591466,0.0835484426088453
2020-07-10,9199,1198,605,0.13023154690727254,0.06576801826285465
2020-07-17,12998,1350,639,0.10386213263579012,0.04916140944760732
2020-07-24,18228,2204,1078,0.12091288128154487,0.05913978494623656
2020-07-31,18090,2865,1690,0.1583747927031509,0.09342177998894417
2020-08-07,11612,1636,928,0.1408887357905615,0.07991732690320358
2020-08-14,15525,2393,1316,0.15413848631239935,0.08476650563607085
2020-08-21,10913,1966,1179,0.1801521121598094,0.10803628699715935
2020-08-28,9338,1692,731,0.1811951167273506,0.07828228742771472
2020-09-04,11579,2175,1441,0.18784005527247605,0.12444943432075309
2020-09-11,8750,2625,2167,0.3,0.24765714285714285
2020-09-18,9385,1950,1243,0.20777836973894512,0.1324453915823122
2020-09-25,9512,2214,1675,0.23275862068965517,0.17609335576114382
2020-10-02,10002,2559,1926,0.2558488302339532,0.1925614877024595
2020-10-09,9538,4020,3535,0.4214720067100021,0.37062277206961625
2020-10-16,11403,3039,2249,0.26650881347013944,0.1972287994387442
2020-10-23,9043,3466,3058,0.38327988499391796,0.3381621143425854
2020-10-30,7904,2899,2446,0.3667763157894737,0.30946356275303644
2020-11-06,5798,1317,1047,0.2271472921697137,0.18057951017592272
2020-11-13,10760,3944,3287,0.36654275092936806,0.30548327137546466
2020-11-20,7361,2422,2023,0.32903138160576006,0.2748267898383372
2020-11-27,6483,2306,1964,0.355699521826315,0.30294616689804105
2020-12-04,11090,2107,1438,0.18999098286744814,0.1296663660955816
2020-12-11,11723,2241,1467,0.19116267167107395,0.1251386163951207
2020-12-18,12769,1716,811,0.13438797086694337,0.06351319602161484
2020-12-25,13802,1909,860,0.1383132879292856,0.06230981017243878
2021-01-01,9880,1574,809,0.15931174089068825,0.08188259109311741
2021-01-08,9643,1338,711,0.13875349994814892,0.07373224100383698
2021-01-15,11317,2280,1563,0.20146681982857648,0.13811080675090573
2021-01-22,10702,2446,1898,0.22855541020370024,0.17735002803214353
2021-01-29,12878,4171,3404,0.32388569653672933,0.26432675881348033
2021-02-05,12614,4953,4215,0.39265895037260184,0.33415252893610276
2021-02-12,12516,3863,3167,0.30864493448386066,0.2530361137743688
2021-02-19,11203,3577,2871,0.3192894760332054,0.256270641792377
2021-02-26,8861,2304,1817,0.2600157995711545,0.20505586276943913
2021-03-05,10812,2394,1799,0.2214206437291898,0.16638919718830927
2021-03-12,10553,3858,3306,0.3655832464701981,0.31327584573107176
2021-03-19,15196,6147,5254,0.40451434588049484,0.34574888128454856
2021-03-26,10303,2687,2163,0.26079782587595846,0.20993885276133165
2021-04-02,10554,2164,1581,0.20504074284631418,0.14980102330869813
2021-04-09,12215,3149,2425,0.2577977896029472,0.19852640196479737
2021-04-16,9951,2971,2524,0.2985629584966335,0.25364284996482767
2021-04-23,9740,2831,2342,0.29065708418891173,0.2404517453798768
2021-04-30,14113,5326,4712,0.3773825550910508,0.33387656770353574
2021-05-07,14782,3538,2849,0.23934514950615612,0.19273440671086456
2021-05-14,12193,4189,3591,0.34355777905355533,0.29451324530468304
2021-05-21,8537,1841,1463,0.21564952559447112,0.1713716762328687
2021-05-28,9087,1899,1467,0.20897986134037635,0.16143941895014857
2021-06-04,10585,2895,2332,0.27350023618327823,0.22031176192725554
2021-06-11,7856,1143,741,0.1454938900203666,0.09432281059063137
2021-06-18,9896,2660,2243,0.2687954729183509,0.22665723524656428
2021-06-25,8614,2705,2282,0.314023682377525,0.2649175760390063
2021-07-02,3509,973,752,0.2772869763465375,0.21430607010544314
2021-07-09,4033,907,686,0.22489461939003225,0.17009670220679396
2021-07-16,6377,1935,1563,0.3034342167163243,0.24509957660341852
2021-07-23,5955,1680,1360,0.28211586901763225,0.22837951301427373
2021-07-30,5689,1857,1573,0.32641940587097906,0.27649850588855684
2021-08-06,7439,2249,1845,0.3023255813953488,0.24801720661379217
2021-08-13,7599,3153,2742,0.4149230161863403,0.3608369522305567
2021-08-20,6135,1516,1219,0.24710676446617766,0.1986960065199674
2021-08-27,5762,1439,1159,0.24973967372440126,0.2011454356126345
2021-09-03,8332,2210,1808,0.2652424387902064,0.2169947191550648
2021-09-10,9165,3710,3278,0.40480087288597927,0.3576650300054555
2021-09-17,8716,2278,1804,0.26135842129417164,0.2069756769160165
2021-09-24,9969,3118,2449,0.3127695857157187,0.24566155080750327
2021-10-01,7845,3378,2932,0.4305927342256214,0.3737412364563416
2021-10-08,8428,3509,3044,0.4163502610346464,0.3611770289511153
2021-10-15,3986,1531,1354,0.3840943301555444,0.33968891118916206
2021-10-22,4196,1914,1774,0.4561487130600572,0.42278360343183985
2021-10-29,7412,2505,2171,0.33796546141392336,0.29290339989206693
2021-11-05,7009,2968,2646,0.42345555714081895,0.3775146240547867
2021-11-12,10253,4012,3551,0.3913001072856725,0.3463376572710426
2021-11-19,7727,2702,2372,0.3496829299857642,0.3069755403131875
2021-11-26,6925,3265,2965,0.4714801444043321,0.42815884476534294
2021-12-03,4800,1841,1650,0.38354166666666667,0.34375
2021-12-10,7544,2033,1616,0.2694856839872747,0.2142099681866384
2021-12-17,7193,1596,1227,0.22188238565271792,0.17058251077436395
2021-12-24,8785,2005,1542,0.228229937393284,0.17552646556630622
2021-12-31,8606,1764,1309,0.2049732744596793,0.15210318382523821
