feature,target,n,pearson_r,pearson_p,granger_p_min,pearson_p_bh,granger_p_bh,treatment
share_anger_disgust,GLD__fwd_3m,431,0.007796472202336161,0.8717851666385099,0.5804630650452566,0.9955817789873233,0.6814131633139968,drop
emo_surprise,^IXIC__fwd_3m,431,-0.007758783051197657,0.8723996680911261,0.3908413300560714,0.9955817789873233,0.5415940913303573,drop
share_optimism_confidence,QQQ__fwd_3m,431,-0.007641167747180179,0.8743178144692777,0.5962981258710883,0.9955817789873233,0.6960547672292215,drop
cell_optimism_confidence__growth_gdp,QQQ__fwd_1m,440,-0.007412939319284658,0.8767780119268431,0.4633775060402047,0.9955817789873233,0.593212676500651,drop
share_anger_disgust,GC=F__fwd_3m,431,0.007357515535330243,0.8789468056537265,0.5877660897439124,0.9955817789873233,0.6873874608869484,drop
emo_fear_anxiety,BTC-USD__fwd_3m,432,-0.007301209150400962,0.8797271472213333,0.2025493577166078,0.9955817789873233,0.3936155170723613,drop
share_surprise,QQQ__fwd_1m,440,0.007168462233329534,0.8808110688263725,0.045152148769250146,0.9955817789873233,0.20876914221913534,drop
emo_surprise,^GSPC__fwd_3m,431,0.007178708999859195,0.8818669247530114,0.13907097414202035,0.9955817789873233,0.3330768858582756,drop
emo_surprise,GC=F__fwd_1m,440,-0.0071036417742898076,0.8818809116073459,0.5625223060601314,0.9955817789873233,0.6679280154174793,drop
emo_fear_anxiety,QQQ__fwd_1w,443,-0.007070557762029288,0.8820275587831949,0.3893744841206815,0.9955817789873233,0.5415940913303573,drop
cell_fear_anxiety__inflation,GC=F__fwd_1m,440,0.007026046129866913,0.8831618874261167,0.2695860200545131,0.9955817789873233,0.44481647686074005,drop
share_surprise,ETH-USD__fwd_1w,443,0.006977551886570363,0.8835682661065023,0.7411088172343715,0.9955817789873233,0.788188774480558,drop
share_optimism_confidence,BTC-USD__fwd_1m,441,-0.006989125338019055,0.8836396838622541,0.4187964096608764,0.9955817789873233,0.5597731570232559,drop
cell_optimism_confidence__growth_gdp,ETH-USD__fwd_3m,432,0.006863257282876747,0.8868916320395321,0.3632777464400703,0.9955817789873233,0.5246406524169388,drop
cell_optimism_confidence__corporate_earnings,^GSPC__fwd_1m,440,0.00672166891813479,0.8881895613377818,0.5844875048466152,0.9955817789873233,0.6848429066221661,drop
cell_optimism_confidence__growth_gdp,^GSPC__fwd_1m,440,0.0066323350035002665,0.8896660310879444,0.39451603091507187,0.9955817789873233,0.5444321226627992,drop
share_excitement_euphoria,BTC-USD__fwd_3m,432,0.006692312721937231,0.8896906603611321,0.9068325038130528,0.9955817789873233,0.9156796501917168,drop
share_confusion_uncertainty,^GSPC__fwd_1m,440,-0.006623004041151466,0.8898202710216994,0.17797901781818964,0.9955817789873233,0.37213794634712377,drop
cell_fear_anxiety__monetary_policy,GC=F__fwd_1m,440,0.006502052638025903,0.8918199604147649,0.010129409232076333,0.9955817789873233,0.1123279130914179,drop
emo_surprise,^VIX__fwd_1m,440,0.0063654786187463215,0.8940787622550563,0.24942023499948657,0.9955817789873233,0.42435607105392104,drop
net_valence,^VIX__fwd_3m,431,-0.0063844480898938415,0.8948569403629312,0.4548742201354323,0.9955817789873233,0.5883742128042742,drop
emo_optimism_confidence,GC=F__fwd_1m,440,0.006231160486385347,0.8963010892829583,0.5132685207202932,0.9955817789873233,0.6349397437595659,drop
cell_optimism_confidence__growth_gdp,SPY__fwd_1m,440,0.006225308085934642,0.8963979372749034,0.3718135587843176,0.9955817789873233,0.5283666361671882,drop
cell_optimism_confidence__growth_gdp,BTC-USD__fwd_3m,432,-0.006282069655860985,0.896413464619638,0.8412718215485396,0.9955817789873233,0.8620953814878599,drop
emo_confusion_uncertainty,^VIX__fwd_3m,431,0.006254823586512373,0.8969796931466878,0.17398439744664324,0.9955817789873233,0.3700147630628954,drop
net_valence_mean,ETH-USD__fwd_3m,432,0.006246384407512882,0.8969986095647737,0.11838494349530287,0.9955817789873233,0.30361084203686906,drop
cell_anger_disgust__fiscal_taxes,GLD__fwd_3m,431,0.006253553649003733,0.897000493518474,0.1811108532268461,0.9955817789873233,0.37347432240441847,drop
share_confusion_uncertainty,SPY__fwd_1m,440,-0.0060535035747253255,0.8992417103298259,0.1770505755971524,0.9955817789873233,0.37213794634712377,drop
cell_fear_anxiety__markets_themselves,QQQ__fwd_3m,431,0.0061123552037062,0.8993136268166524,0.6720002431358529,0.9955817789873233,0.7536078439831854,drop
share_excitement_euphoria,GC=F__fwd_3m,431,-0.0060511210266274585,0.9003170401380542,0.46146106087846506,0.9955817789873233,0.593212676500651,drop
emo_excitement_euphoria,BTC-USD__fwd_3m,432,-0.00603185264408497,0.900517536266462,0.048861666631051195,0.9955817789873233,0.20876914221913534,drop
net_valence_mean,BTC-USD__fwd_1m,441,0.005929161826190599,0.9011885115440617,0.362606789906142,0.9955817789873233,0.5246406524169388,drop
share_anger_disgust,^IXIC__fwd_1m,440,0.005917019220513748,0.9015017719319315,0.41886376142120296,0.9955817789873233,0.5597731570232559,drop
mean_intensity,QQQ__fwd_3m,431,-0.005976529817245146,0.9015395427057222,0.4722211489897483,0.9955817789873233,0.5984680275972116,drop
emo_confusion_uncertainty,GLD__fwd_1m,440,-0.0058737075094204535,0.902219143237607,0.21777646409084875,0.9955817789873233,0.4049077371269973,drop
share_optimism_confidence,ETH-USD__fwd_3m,432,0.005924212911406157,0.9022838705780816,0.28240612565984563,0.9955817789873233,0.4590947749601156,drop
net_valence_mean,^VIX__fwd_3m,431,-0.005921096282584464,0.9024482140580464,0.26882541975686136,0.9955817789873233,0.44481647686074005,drop
emo_anger_disgust,BTC-USD__fwd_3m,432,-0.005852147374205762,0.9034667134796325,0.11391757956721915,0.9955817789873233,0.29846026072355825,drop
cell_optimism_confidence__growth_gdp,ETH-USD__fwd_1m,441,-0.005727937613784786,0.9045257032195559,0.2061244223955064,0.9955817789873233,0.3938562040234138,drop
share_optimism_confidence,^VIX__fwd_3m,431,-0.005783563099278227,0.9047032175413923,0.31505396247005524,0.9955817789873233,0.49083053251432607,drop
share_confusion_uncertainty,QQQ__fwd_1m,440,0.005530329512843399,0.9079092775602517,0.11002723809851053,0.9955817789873233,0.2932485616273607,drop
mean_intensity,GLD__fwd_1m,440,0.005428079067222163,0.909604598705309,0.2909152050235594,0.9955817789873233,0.46924244758345557,drop
net_valence_mean,SPY__fwd_3m,431,-0.005452096347683937,0.9101410823656472,0.43701101211509374,0.9955817789873233,0.5725397437204076,drop
cell_optimism_confidence__growth_gdp,GC=F__fwd_3m,431,-0.005337378509667367,0.9120240720202717,0.822008188824344,0.9955817789873233,0.8493628706487815,drop
share_anger_disgust,^VIX__fwd_3m,431,0.005303927715223017,0.9125732297708529,0.3217458425255155,0.9955817789873233,0.49373588830792037,drop
share_anger_disgust,QQQ__fwd_1m,440,0.0052276071398732644,0.9129296241736214,0.4513730981986073,0.9955817789873233,0.5851830772052926,drop
cell_optimism_confidence__growth_gdp,QQQ__fwd_1w,443,-0.005122342148354148,0.9143852432205901,0.29524186957535736,0.9955817789873233,0.47498756737382625,drop
emo_surprise,SPY__fwd_1m,440,-0.0051168394018336625,0.9147674723091453,0.08856889896848633,0.9955817789873233,0.26316404908818186,drop
cell_anger_disgust__fiscal_taxes,BTC-USD__fwd_3m,432,-0.005090937302708062,0.9159733192030702,0.05514652710060692,0.9955817789873233,0.20876914221913534,drop
emo_surprise,^GSPC__fwd_1m,440,-0.005027487215730171,0.9162503270206283,0.09068044536450176,0.9955817789873233,0.26485335462485576,drop
net_valence,BTC-USD__fwd_3m,432,0.005030843189158592,0.9169615838438291,0.12885909835382434,0.9955817789873233,0.3175456352290671,drop
emo_surprise,GLD__fwd_1m,440,-0.004900482314875367,0.9183585504100537,0.57893602387046,0.9955817789873233,0.6809077098930978,drop
net_valence_mean,^GSPC__fwd_3m,431,-0.004929743599241968,0.9187189420461435,0.42942665716712924,0.9955817789873233,0.5661867390674888,drop
share_surprise,ETH-USD__fwd_3m,432,-0.004916149695218714,0.9188481043828073,0.37698292616908613,0.9955817789873233,0.5308535082789172,drop
emo_confusion_uncertainty,SPY__fwd_3m,431,0.004901440231360411,0.9191840066246443,0.607236012736368,0.9955817789873233,0.7061677226765627,drop
cell_optimism_confidence__corporate_earnings,BTC-USD__fwd_3m,432,0.00486117728627403,0.9197524727413402,0.722628303568906,0.9955817789873233,0.783162611721275,drop
cell_optimism_confidence__corporate_earnings,GLD__fwd_3m,431,0.0048517325832815004,0.9200008405457432,0.34899912712185793,0.9955817789873233,0.5139057606471292,drop
cell_anger_disgust__fiscal_taxes,GC=F__fwd_3m,431,0.004815728907105369,0.9205925329470439,0.11813008359139264,0.9955817789873233,0.30361084203686906,drop
cell_optimism_confidence__growth_gdp,GLD__fwd_3m,431,-0.0046996403817239525,0.92250065424198,0.5729894998275131,0.9955817789873233,0.6751925605178096,drop
share_pessimism_despair,GC=F__fwd_1w,443,0.004573834609404147,0.9235232776473411,0.5602472522163116,0.9955817789873233,0.6668651786830885,drop
cell_fear_anxiety__monetary_policy,GLD__fwd_1m,440,0.004387107565334025,0.9268860160424378,0.018652606595713106,0.9955817789873233,0.1379695955841772,drop
share_pessimism_despair,GC=F__fwd_1m,440,-0.00438216710391415,0.926968122359584,0.3523170114138601,0.9955817789873233,0.5160114719056772,drop
share_anger_disgust,BTC-USD__fwd_3m,432,0.004394360138583254,0.927436280577022,0.6961090215623444,0.9955817789873233,0.7678218514923906,drop
net_valence_mean,BTC-USD__fwd_3m,432,-0.004307699118994972,0.9288634845350575,0.5524558424950096,0.9955817789873233,0.6610309791703293,drop
cell_optimism_confidence__corporate_earnings,QQQ__fwd_1m,440,-0.00418170036622728,0.9303003552019796,0.741227446532441,0.9955817789873233,0.788188774480558,drop
share_excitement_euphoria,GLD__fwd_3m,431,-0.0041912890489265,0.9308614036483774,0.404409822579263,0.9955817789873233,0.5524594583150064,drop
